M_James,M_John,M_Robert,M_Michael,M_William,M_David,M_Joseph,M_Richard,M_Charles,M_Thomas,M_Christopher,M_Daniel,M_Matthew,M_George,M_Anthony,M_Donald,M_Paul,M_Mark,M_Edward,M_Andrew,F_Mary,F_Elizabeth,F_Patricia,F_Jennifer,F_Linda,F_Barbara,F_Margaret,F_Susan,F_Dorothy,F_Sarah,F_Jessica,F_Helen,F_Nancy,F_Betty,F_Karen,F_Lisa,F_Anna,F_Sandra,F_Ashley,F_Emily,year
5927.0,9655.0,2415.0,354.0,9532.0,869.0,2632.0,728.0,5348.0,2534.0,95.0,643.0,113.0,5126.0,130.0,46.0,301.0,85.0,2364.0,644.0,7065.0,1939.0,0.0,0.0,27.0,127.0,1578.0,286.0,112.0,1288.0,7.0,636.0,410.0,117.0,0.0,0.0,2604.0,0.0,0.0,210.0,1880
5441.0,8769.0,2140.0,298.0,8524.0,750.0,2456.0,641.0,4636.0,2282.0,68.0,527.0,80.0,4664.0,128.0,27.0,291.0,94.0,2177.0,588.0,6919.0,1852.0,0.0,0.0,38.0,130.0,1658.0,292.0,109.0,1226.0,7.0,612.0,429.0,112.0,6.0,0.0,2698.0,0.0,0.0,244.0,1881
5892.0,9557.0,2500.0,321.0,9298.0,838.0,2670.0,746.0,5091.0,2610.0,89.0,594.0,109.0,5193.0,139.0,48.0,397.0,90.0,2477.0,673.0,8148.0,2186.0,0.0,0.0,36.0,130.0,1821.0,326.0,115.0,1410.0,8.0,838.0,439.0,123.0,0.0,0.0,3143.0,0.0,0.0,272.0,1882
5223.0,8894.0,2334.0,307.0,8387.0,734.0,2515.0,649.0,4826.0,2316.0,89.0,615.0,86.0,4736.0,143.0,52.0,358.0,91.0,2250.0,623.0,8012.0,2255.0,0.0,0.0,49.0,135.0,1881.0,322.0,141.0,1359.0,6.0,862.0,412.0,120.0,0.0,0.0,3306.0,0.0,0.0,342.0,1883
5693.0,9388.0,2468.0,373.0,8897.0,761.0,2707.0,749.0,4802.0,2572.0,68.0,573.0,117.0,4961.0,179.0,59.0,422.0,96.0,2439.0,616.0,9217.0,2549.0,6.0,0.0,33.0,193.0,2142.0,326.0,163.0,1518.0,14.0,986.0,520.0,144.0,0.0,0.0,3860.0,0.0,0.0,364.0,1884
5175.0,8756.0,2322.0,370.0,8044.0,712.0,2540.0,672.0,4599.0,2266.0,71.0,535.0,111.0,4674.0,153.0,47.0,428.0,74.0,2220.0,599.0,9128.0,2582.0,5.0,0.0,60.0,195.0,2204.0,302.0,196.0,1424.0,6.0,1134.0,527.0,155.0,10.0,0.0,3994.0,0.0,0.0,346.0,1885
5355.0,9026.0,2443.0,348.0,8252.0,674.0,2594.0,720.0,4533.0,2337.0,66.0,555.0,112.0,4671.0,174.0,57.0,466.0,106.0,2312.0,614.0,9889.0,2680.0,8.0,0.0,49.0,207.0,2275.0,323.0,230.0,1569.0,11.0,1267.0,492.0,167.0,9.0,6.0,4283.0,0.0,0.0,369.0,1886
4768.0,8110.0,2125.0,345.0,7470.0,673.0,2456.0,622.0,4031.0,2151.0,56.0,557.0,108.0,4284.0,153.0,60.0,449.0,76.0,2125.0,520.0,9888.0,2681.0,10.0,0.0,50.0,204.0,2419.0,335.0,272.0,1436.0,8.0,1405.0,511.0,178.0,9.0,0.0,4227.0,0.0,0.0,335.0,1887
5562.0,9247.0,2814.0,466.0,8705.0,801.0,2993.0,772.0,4591.0,2449.0,79.0,566.0,114.0,4912.0,193.0,77.0,529.0,115.0,2470.0,615.0,11754.0,3224.0,12.0,0.0,77.0,253.0,2904.0,363.0,373.0,1755.0,18.0,1847.0,582.0,214.0,5.0,0.0,4982.0,0.0,0.0,457.0,1888
5020.0,8548.0,2513.0,377.0,7772.0,757.0,2729.0,711.0,4199.0,2233.0,71.0,515.0,118.0,4430.0,219.0,75.0,556.0,101.0,2299.0,561.0,11648.0,3058.0,17.0,0.0,74.0,246.0,2917.0,356.0,377.0,1730.0,9.0,1909.0,470.0,189.0,10.0,0.0,5062.0,0.0,0.0,429.0,1889
